	microMUMMIE_var	miRNA	type	gene	gene_id	Chr	strand	seed_start	seed_end	transcript_id	UTR_start	UTR_end	probability	Tr:miR
66278	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078168	9837	11214	0.888620018	FBtr0078168:dme-miR-305-5p
66279	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078166	9837	11214	0.888620018	FBtr0078166:dme-miR-305-5p
66280	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0306592	9837	11214	0.888620018	FBtr0306592:dme-miR-305-5p
66281	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0078171	9837	11214	0.888620018	FBtr0078171:dme-miR-305-5p
66282	0.5	dme-miR-305-5p	6mer3-8	l(2)gl	FBgn0002121	2L	-	10114	10119	FBtr0330655	9837	11309	0.888620018	FBtr0330655:dme-miR-305-5p
66283	0.5	dme-miR-34-5p	8mer-A1	CG34159	FBgn0085188	2L	-	10202680	10202687	FBtr0112350	10202518	10202882	0.658776141	FBtr0112350:dme-miR-34-5p
66284	0.5	dme-miR-33-5p	7mer-A1	GATAd	FBgn0032223	2L	+	10338708	10338714	FBtr0333098	10338407	10339185	0.346054709	FBtr0333098:dme-miR-33-5p
66285	0.5	dme-miR-8-3p	7mer-m8	GATAd	FBgn0032223	2L	+	10338765	10338771	FBtr0333098	10338407	10339185	0.6250929	FBtr0333098:dme-miR-8-3p
66286	0.5	dme-miR-11-3p	7mer-A1	GATAd	FBgn0032223	2L	+	10338915	10338921	FBtr0333098	10338407	10339185	0.700649601	FBtr0333098:dme-miR-11-3p
66288	0.5	dme-miR-308-3p	7mer-A1	GATAd	FBgn0032223	2L	+	10338915	10338921	FBtr0333098	10338407	10339185	0.700649601	FBtr0333098:dme-miR-308-3p
66290	0.5	dme-miR-275-3p	6mer2-7	Cnot4	FBgn0051716	2L	+	10402800	10402805	FBtr0304112	10402769	10403206	0.83874335	FBtr0304112:dme-miR-275-3p
66291	0.5	dme-miR-275-3p	6mer2-7	Cnot4	FBgn0051716	2L	+	10402800	10402805	FBtr0331638	10402769	10403206	0.83874335	FBtr0331638:dme-miR-275-3p
66292	0.5	dme-miR-306-5p	6mer2-7	Cnot4	FBgn0051716	2L	+	10402800	10402805	FBtr0304112	10402769	10403206	0.83874335	FBtr0304112:dme-miR-306-5p
66293	0.5	dme-miR-306-5p	6mer2-7	Cnot4	FBgn0051716	2L	+	10402800	10402805	FBtr0331638	10402769	10403206	0.83874335	FBtr0331638:dme-miR-306-5p
66294	0.5	dme-miR-308-3p	7mer-m1	Nhe1	FBgn0026787	2L	-	104098	104104	FBtr0301452	103960	104472	0.48828977	FBtr0301452:dme-miR-308-3p
66295	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306590	9837	11214	0.685916974	FBtr0306590:dme-miR-11-3p
66297	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078170	9837	11214	0.685916974	FBtr0078170:dme-miR-11-3p
66299	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306589	9837	11214	0.685916974	FBtr0306589:dme-miR-11-3p
66301	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078167	9837	11214	0.685916974	FBtr0078167:dme-miR-11-3p
66303	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078169	9837	11214	0.685916974	FBtr0078169:dme-miR-11-3p
66305	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306591	9837	11214	0.685916974	FBtr0306591:dme-miR-11-3p
66307	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078168	9837	11214	0.685916974	FBtr0078168:dme-miR-11-3p
66309	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078166	9837	11214	0.685916974	FBtr0078166:dme-miR-11-3p
66311	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306592	9837	11214	0.685916974	FBtr0306592:dme-miR-11-3p
66313	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078171	9837	11214	0.685916974	FBtr0078171:dme-miR-11-3p
66315	0.5	dme-miR-11-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0330655	9837	11309	0.685916974	FBtr0330655:dme-miR-11-3p
66317	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306590	9837	11214	0.685916974	FBtr0306590:dme-miR-308-3p
66319	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078170	9837	11214	0.685916974	FBtr0078170:dme-miR-308-3p
66321	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306589	9837	11214	0.685916974	FBtr0306589:dme-miR-308-3p
66323	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078167	9837	11214	0.685916974	FBtr0078167:dme-miR-308-3p
66325	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078169	9837	11214	0.685916974	FBtr0078169:dme-miR-308-3p
66327	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306591	9837	11214	0.685916974	FBtr0306591:dme-miR-308-3p
66329	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078168	9837	11214	0.685916974	FBtr0078168:dme-miR-308-3p
66331	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078166	9837	11214	0.685916974	FBtr0078166:dme-miR-308-3p
66333	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0306592	9837	11214	0.685916974	FBtr0306592:dme-miR-308-3p
66335	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0078171	9837	11214	0.685916974	FBtr0078171:dme-miR-308-3p
66337	0.5	dme-miR-308-3p	7mer-A1	l(2)gl	FBgn0002121	2L	-	10534	10540	FBtr0330655	9837	11309	0.685916974	FBtr0330655:dme-miR-308-3p
66339	0.5	dme-miR-7-5p	7mer-m8	CG6700	FBgn0032305	2L	-	10838165	10838171	FBtr0080187	10837730	10839315	0.570212543	FBtr0080187:dme-miR-7-5p
66340	0.5	dme-miR-7-5p	7mer-m8	CG6700	FBgn0032305	2L	-	10838165	10838171	FBtr0301710	10837858	10839315	0.570212543	FBtr0301710:dme-miR-7-5p
66341	0.5	dme-miR-275-3p	8mer-A1	CG6700	FBgn0032305	2L	-	10839257	10839264	FBtr0080187	10837730	10839315	0.670489313	FBtr0080187:dme-miR-275-3p
66342	0.5	dme-miR-275-3p	8mer-A1	CG6700	FBgn0032305	2L	-	10839257	10839264	FBtr0301710	10837858	10839315	0.670489313	FBtr0301710:dme-miR-275-3p
66343	0.5	dme-miR-306-5p	8mer-A1	CG6700	FBgn0032305	2L	-	10839257	10839264	FBtr0080187	10837730	10839315	0.670489313	FBtr0080187:dme-miR-306-5p
66344	0.5	dme-miR-306-5p	8mer-A1	CG6700	FBgn0032305	2L	-	10839257	10839264	FBtr0301710	10837858	10839315	0.670489313	FBtr0301710:dme-miR-306-5p
66345	0.5	dme-miR-277-3p	8mer-A1	porin	FBgn0004363	2L	-	10847252	10847259	FBtr0305260	10847225	10847867	0.490204113	FBtr0305260:dme-miR-277-3p
66346	0.5	dme-miR-277-3p	8mer-A1	porin	FBgn0004363	2L	-	10847252	10847259	FBtr0080183	10847225	10847867	0.490204113	FBtr0080183:dme-miR-277-3p
66347	0.5	dme-miR-8-3p	8mer-A1	CG12253	FBgn0026148	2L	+	10989220	10989227	FBtr0080149	10989166	10989241	0.655920045	FBtr0080149:dme-miR-8-3p
66348	0.5	dme-miR-7-5p	8mer-A1	Samuel	FBgn0032330	2L	-	11013949	11013956	FBtr0331197	11013204	11014199	0.572207617	FBtr0331197:dme-miR-7-5p
66349	0.5	dme-miR-7-5p	8mer-A1	Samuel	FBgn0032330	2L	-	11013949	11013956	FBtr0080161	11013204	11014199	0.572207617	FBtr0080161:dme-miR-7-5p
66350	0.5	dme-miR-965-3p	6mer2-7	Ge-1	FBgn0032340	2L	-	11095578	11095583	FBtr0080231	11095351	11095687	0.858382338	FBtr0080231:dme-miR-965-3p
66351	0.5	dme-miR-965-3p	6mer2-7	Ge-1	FBgn0032340	2L	-	11095578	11095583	FBtr0080232	11095148	11095687	0.858382338	FBtr0080232:dme-miR-965-3p
66352	0.5	dme-miR-965-3p	7mer-m8	l(2)gd1	FBgn0261983	2L	+	11110556	11110562	FBtr0306138	11110434	11110851	0.416492077	FBtr0306138:dme-miR-965-3p
66353	0.5	dme-miR-965-3p	7mer-m8	l(2)gd1	FBgn0261983	2L	+	11110556	11110562	FBtr0080197	11110434	11110851	0.416492077	FBtr0080197:dme-miR-965-3p
66354	0.5	dme-miR-11-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0077987	1114652	1115733	0.818849075	FBtr0077987:dme-miR-11-3p
66356	0.5	dme-miR-11-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0332272	1114652	1115733	0.818849075	FBtr0332272:dme-miR-11-3p
66358	0.5	dme-miR-11-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0077988	1114652	1115733	0.818849075	FBtr0077988:dme-miR-11-3p
66360	0.5	dme-miR-308-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0077987	1114652	1115733	0.818849075	FBtr0077987:dme-miR-308-3p
66362	0.5	dme-miR-308-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0332272	1114652	1115733	0.818849075	FBtr0332272:dme-miR-308-3p
66364	0.5	dme-miR-308-3p	6mer3-8	Pino	FBgn0016926	2L	-	1114826	1114831	FBtr0077988	1114652	1115733	0.818849075	FBtr0077988:dme-miR-308-3p
66366	0.5	dme-miR-14-3p	7mer-m8	CG4788	FBgn0032354	2L	+	11180259	11180265	FBtr0080202	11179989	11180430	0.61512533	FBtr0080202:dme-miR-14-3p
66367	0.5	dme-miR-14-3p	7mer-m8	IntS14	FBgn0031314	2L	+	1166384	1166390	FBtr0077962	1166360	1166425	0.662971373	FBtr0077962:dme-miR-14-3p
66368	0.5	dme-miR-276a-3p	8mer-A1	esc	FBgn0000588	2L	-	11827385	11827392	FBtr0080325	11827202	11827459	0.607555246	FBtr0080325:dme-miR-276a-3p
66369	0.5	dme-miR-996-3p	8mer-A1	CG6686	FBgn0032388	2L	-	11986167	11986174	FBtr0301171	11984325	11987330	0.524654013	FBtr0301171:dme-miR-996-3p
66370	0.5	dme-miR-279-3p	8mer-A1	CG6686	FBgn0032388	2L	-	11986167	11986174	FBtr0301171	11984325	11987330	0.524654013	FBtr0301171:dme-miR-279-3p
66371	0.5	dme-bantam-3p	6mer3-8	Ced-12	FBgn0032409	2L	+	12100649	12100654	FBtr0080330	12100540	12100839	0.917159272	FBtr0080330:dme-bantam-3p
66372	0.5	dme-bantam-3p	7mer-m8	Patsas	FBgn0029137	2L	-	12100792	12100798	FBtr0080362	12100763	12101247	0.541504763	FBtr0080362:dme-bantam-3p
66373	0.5	dme-miR-317-3p	8mer-A1	Rab6	FBgn0015797	2L	-	12107651	12107658	FBtr0080361	12107285	12108172	0.590032431	FBtr0080361:dme-miR-317-3p
66374	0.5	dme-miR-317-3p	8mer-A1	Rab6	FBgn0015797	2L	-	12107651	12107658	FBtr0346437	12107219	12108172	0.590032431	FBtr0346437:dme-miR-317-3p
66375	0.5	dme-miR-184-3p	8mer-A1	crok	FBgn0032421	2L	+	12173897	12173904	FBtr0080342	12173602	12174091	0.622676034	FBtr0080342:dme-miR-184-3p
66376	0.5	dme-miR-252-5p	7mer-A1	Elf	FBgn0020443	2L	+	12440482	12440488	FBtr0344859	12439563	12440602	0.554631352	FBtr0344859:dme-miR-252-5p
66377	0.5	dme-miR-252-5p	7mer-A1	Elf	FBgn0020443	2L	+	12440482	12440488	FBtr0333090	12439563	12440602	0.554631352	FBtr0333090:dme-miR-252-5p
66378	0.5	dme-miR-252-5p	7mer-A1	Elf	FBgn0020443	2L	+	12440482	12440488	FBtr0333089	12439563	12441279	0.554631352	FBtr0333089:dme-miR-252-5p
66379	0.5	dme-miR-252-5p	7mer-A1	Elf	FBgn0020443	2L	+	12440482	12440488	FBtr0080369	12439563	12440602	0.554631352	FBtr0080369:dme-miR-252-5p
66380	0.5	dme-miR-970-3p	8mer-A1	CG5418	FBgn0032436	2L	-	12452005	12452012	FBtr0080382	12451943	12452060	0.529456965	FBtr0080382:dme-miR-970-3p
66381	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0300524	12456575	12457755	0.437307856	FBtr0300524:dme-miR-988-3p
66382	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0299656	12456575	12457755	0.437307856	FBtr0299656:dme-miR-988-3p
66383	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0300522	12456575	12457755	0.437307856	FBtr0300522:dme-miR-988-3p
66384	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0299652	12455538	12457755	0.437307856	FBtr0299652:dme-miR-988-3p
66385	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0346622	12456575	12457755	0.437307856	FBtr0346622:dme-miR-988-3p
66386	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0300523	12455538	12457755	0.437307856	FBtr0300523:dme-miR-988-3p
66387	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0339528	12455538	12457755	0.437307856	FBtr0339528:dme-miR-988-3p
66388	0.5	dme-miR-988-3p	8mer-m1	bun	FBgn0259176	2L	-	12456705	12456712	FBtr0299658	12456575	12457755	0.437307856	FBtr0299658:dme-miR-988-3p
66389	0.5	dme-miR-996-3p	8mer-A1	Vha68-1	FBgn0265262	2L	-	13001290	13001297	FBtr0336618	13000963	13001411	0.622599581	FBtr0336618:dme-miR-996-3p
66390	0.5	dme-miR-996-3p	8mer-A1	Vha68-1	FBgn0265262	2L	-	13001290	13001297	FBtr0080429	13000768	13001411	0.622599581	FBtr0080429:dme-miR-996-3p
66391	0.5	dme-miR-279-3p	8mer-A1	Vha68-1	FBgn0265262	2L	-	13001290	13001297	FBtr0336618	13000963	13001411	0.622599581	FBtr0336618:dme-miR-279-3p
66392	0.5	dme-miR-279-3p	8mer-A1	Vha68-1	FBgn0265262	2L	-	13001290	13001297	FBtr0080429	13000768	13001411	0.622599581	FBtr0080429:dme-miR-279-3p
66393	0.5	dme-miR-282-5p	6mer2-7	Sir2	FBgn0024291	2L	+	13168888	13168893	FBtr0080434	13168640	13169551	0.72679098	FBtr0080434:dme-miR-282-5p
66394	0.5	dme-miR-996-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0080514	13502654	13504503	0.518862935	FBtr0080514:dme-miR-996-3p
66395	0.5	dme-miR-996-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0332509	13500622	13504503	0.518862935	FBtr0332509:dme-miR-996-3p
66396	0.5	dme-miR-996-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0080513	13502654	13504503	0.518862935	FBtr0080513:dme-miR-996-3p
66397	0.5	dme-miR-279-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0080514	13502654	13504503	0.518862935	FBtr0080514:dme-miR-279-3p
66398	0.5	dme-miR-279-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0332509	13500622	13504503	0.518862935	FBtr0332509:dme-miR-279-3p
66399	0.5	dme-miR-279-3p	7mer-m8	B4	FBgn0023407	2L	-	13502806	13502812	FBtr0080513	13502654	13504503	0.518862935	FBtr0080513:dme-miR-279-3p
66400	0.5	dme-miR-980-3p	6mer3-8	lea	FBgn0002543	2L	-	1380777	1380782	FBtr0329985	1380084	1381443	0.717166685	FBtr0329985:dme-miR-980-3p
66401	0.5	dme-miR-980-3p	6mer3-8	lea	FBgn0002543	2L	-	1380777	1380782	FBtr0077941	1380084	1381611	0.717166685	FBtr0077941:dme-miR-980-3p
66402	0.5	dme-miR-282-5p	6mer2-7	tam	FBgn0004406	2L	-	13824070	13824075	FBtr0080571	13823978	13824139	0.567308957	FBtr0080571:dme-miR-282-5p
66403	0.5	dme-miR-14-3p	6mer2-7	Dyrk2	FBgn0016930	2L	-	14184939	14184944	FBtr0100447	14184476	14186137	0.906842553	FBtr0100447:dme-miR-14-3p
66404	0.5	dme-miR-14-3p	6mer2-7	Dyrk2	FBgn0016930	2L	-	14184939	14184944	FBtr0100448	14184476	14186137	0.906842553	FBtr0100448:dme-miR-14-3p
66405	0.5	dme-miR-14-3p	6mer2-7	Dyrk2	FBgn0016930	2L	-	14184939	14184944	FBtr0329933	14184476	14186065	0.906842553	FBtr0329933:dme-miR-14-3p
66406	0.5	dme-miR-14-3p	6mer2-7	Dyrk2	FBgn0016930	2L	-	14184939	14184944	FBtr0089289	14184476	14186137	0.906842553	FBtr0089289:dme-miR-14-3p
66407	0.5	dme-miR-14-3p	6mer2-7	Dyrk2	FBgn0016930	2L	-	14184939	14184944	FBtr0089290	14184476	14186137	0.906842553	FBtr0089290:dme-miR-14-3p
66408	0.5	dme-miR-11-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302735	14327750	14328262	0.619099056	FBtr0302735:dme-miR-11-3p
66410	0.5	dme-miR-11-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302733	14327750	14328262	0.619099056	FBtr0302733:dme-miR-11-3p
66412	0.5	dme-miR-11-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302734	14327750	14328262	0.619099056	FBtr0302734:dme-miR-11-3p
66414	0.5	dme-miR-11-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302732	14327750	14328262	0.619099056	FBtr0302732:dme-miR-11-3p
66416	0.5	dme-miR-11-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302731	14327750	14328262	0.619099056	FBtr0302731:dme-miR-11-3p
66418	0.5	dme-miR-308-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302735	14327750	14328262	0.619099056	FBtr0302735:dme-miR-308-3p
66420	0.5	dme-miR-308-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302733	14327750	14328262	0.619099056	FBtr0302733:dme-miR-308-3p
66422	0.5	dme-miR-308-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302734	14327750	14328262	0.619099056	FBtr0302734:dme-miR-308-3p
66424	0.5	dme-miR-308-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302732	14327750	14328262	0.619099056	FBtr0302732:dme-miR-308-3p
66426	0.5	dme-miR-308-3p	6mer2-7	wb	FBgn0261563	2L	+	14327834	14327839	FBtr0302731	14327750	14328262	0.619099056	FBtr0302731:dme-miR-308-3p
66428	0.5	dme-miR-34-5p	8mer-A1	wb	FBgn0261563	2L	+	14327876	14327883	FBtr0302735	14327750	14328262	0.542148818	FBtr0302735:dme-miR-34-5p
66429	0.5	dme-miR-34-5p	8mer-A1	wb	FBgn0261563	2L	+	14327876	14327883	FBtr0302733	14327750	14328262	0.542148818	FBtr0302733:dme-miR-34-5p
66430	0.5	dme-miR-34-5p	8mer-A1	wb	FBgn0261563	2L	+	14327876	14327883	FBtr0302734	14327750	14328262	0.542148818	FBtr0302734:dme-miR-34-5p
66431	0.5	dme-miR-34-5p	8mer-A1	wb	FBgn0261563	2L	+	14327876	14327883	FBtr0302732	14327750	14328262	0.542148818	FBtr0302732:dme-miR-34-5p
66432	0.5	dme-miR-34-5p	8mer-A1	wb	FBgn0261563	2L	+	14327876	14327883	FBtr0302731	14327750	14328262	0.542148818	FBtr0302731:dme-miR-34-5p
66433	0.5	dme-miR-282-5p	6mer2-7	CG33090	FBgn0028916	2L	+	14345435	14345440	FBtr0343674	14345339	14345790	0.611603266	FBtr0343674:dme-miR-282-5p
66434	0.5	dme-miR-282-5p	6mer2-7	CG33090	FBgn0028916	2L	+	14345435	14345440	FBtr0080624	14345339	14345790	0.611603266	FBtr0080624:dme-miR-282-5p
66435	0.5	dme-miR-282-5p	6mer2-7	CG33090	FBgn0028916	2L	+	14345435	14345440	FBtr0343675	14345339	14345795	0.611603266	FBtr0343675:dme-miR-282-5p
66436	0.5	dme-miR-282-5p	6mer2-7	CG33090	FBgn0028916	2L	+	14345435	14345440	FBtr0343673	14345339	14345795	0.611603266	FBtr0343673:dme-miR-282-5p
66437	0.5	dme-miR-2b-2-5p	6mer3-8	CG33090	FBgn0028916	2L	+	14345611	14345616	FBtr0343674	14345339	14345790	0.730228953	FBtr0343674:dme-miR-2b-2-5p
66438	0.5	dme-miR-2b-2-5p	6mer3-8	CG33090	FBgn0028916	2L	+	14345611	14345616	FBtr0080624	14345339	14345790	0.730228953	FBtr0080624:dme-miR-2b-2-5p
66439	0.5	dme-miR-2b-2-5p	6mer3-8	CG33090	FBgn0028916	2L	+	14345611	14345616	FBtr0343675	14345339	14345795	0.730228953	FBtr0343675:dme-miR-2b-2-5p
66440	0.5	dme-miR-2b-2-5p	6mer3-8	CG33090	FBgn0028916	2L	+	14345611	14345616	FBtr0343673	14345339	14345795	0.730228953	FBtr0343673:dme-miR-2b-2-5p
66441	0.5	dme-miR-988-3p	6mer3-8	spel1	FBgn0015546	2L	+	14365390	14365395	FBtr0080630	14365229	14365568	0.871697551	FBtr0080630:dme-miR-988-3p
66442	0.5	dme-miR-988-3p	6mer3-8	spel1	FBgn0015546	2L	+	14365390	14365395	FBtr0309281	14365229	14366840	0.871697551	FBtr0309281:dme-miR-988-3p
66443	0.5	dme-miR-317-3p	8mer-A1	l(2)35Bd	FBgn0001974	2L	+	15011511	15011518	FBtr0080696	15011357	15011764	0.558402421	FBtr0080696:dme-miR-317-3p
66444	0.5	dme-miR-965-3p	8mer-A1	CycE	FBgn0010382	2L	-	15727656	15727663	FBtr0080777	15727579	15728880	0.501274528	FBtr0080777:dme-miR-965-3p
66445	0.5	dme-miR-965-3p	8mer-A1	CycE	FBgn0010382	2L	-	15727656	15727663	FBtr0080773	15727579	15728880	0.501274528	FBtr0080773:dme-miR-965-3p
66446	0.5	dme-miR-965-3p	8mer-A1	CycE	FBgn0010382	2L	-	15727656	15727663	FBtr0080776	15727579	15728880	0.501274528	FBtr0080776:dme-miR-965-3p
66447	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0080777	15727579	15728880	0.773815332	FBtr0080777:dme-miR-317-3p
66448	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0080775	15727782	15728880	0.773815332	FBtr0080775:dme-miR-317-3p
66449	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0080773	15727579	15728880	0.773815332	FBtr0080773:dme-miR-317-3p
66450	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0305561	15727782	15728880	0.773815332	FBtr0305561:dme-miR-317-3p
66451	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0080776	15727579	15728880	0.773815332	FBtr0080776:dme-miR-317-3p
66452	0.5	dme-miR-317-3p	7mer-A1	CycE	FBgn0010382	2L	-	15727818	15727824	FBtr0080774	15727782	15728880	0.773815332	FBtr0080774:dme-miR-317-3p
66453	0.5	dme-miR-305-5p	7mer-A1	pkaap	FBgn0040079	2L	+	16290916	16290922	FBtr0080826	16290778	16291195	0.776360887	FBtr0080826:dme-miR-305-5p
66454	0.5	dme-miR-184-3p	6mer2-7	CG4455	FBgn0028506	2L	+	16354263	16354268	FBtr0080836	16353552	16354539	0.688225517	FBtr0080836:dme-miR-184-3p
66455	0.5	dme-miR-275-3p	6mer3-8	CG5953	FBgn0032587	2L	-	16508867	16508872	FBtr0337091	16508076	16510135	0.929570828	FBtr0337091:dme-miR-275-3p
66456	0.5	dme-miR-306-5p	6mer3-8	CG5953	FBgn0032587	2L	-	16508867	16508872	FBtr0337091	16508076	16510135	0.929570828	FBtr0337091:dme-miR-306-5p
