Gene ID	Gene Symbol	Transcript ID	Gene Tax ID	miRNA	Site Type	UTR_start	UTR end	context++ score	context++ score percentile	weighted context++ score	weighted context++ score percentile
FBgn0250848	26-29-p	FBtr0075766	7227	dme-miR-92a-3p	1	75	81	-0.471	64	-0.447	75
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-1000-5p	2	20	26	-0.020	2	-0.020	16
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-iab-4-5p	2	501	507	-0.020	9	-0.019	26
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-iab-4-5p	2	543	549	-0.020	9	-0.019	26
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-999-3p	2	687	693	-0.078	16	-0.074	35
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-999-3p	2	729	735	-0.076	16	-0.072	34
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-8-3p	1	769	775	-0.294	34	-0.279	54
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-8-3p	1	811	817	-0.292	34	-0.277	53
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-315-5p	1	1492	1498	-0.198	13	-0.186	38
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-315-5p	2	1512	1518	-0.366	30	-0.342	54
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-315-5p	1	1534	1540	-0.195	13	-0.183	37
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-315-5p	2	1554	1560	-0.364	29	-0.340	54
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-955-5p	1	1618	1624	-0.010	0	-0.009	21
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-955-5p	1	1660	1666	-0.010	0	-0.009	21
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-137-3p	2	2235	2241	-0.066	11	-0.055	27
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-137-3p	2	2277	2283	-0.065	11	-0.055	26
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-210-3p.2	3	2421	2428	-0.289	49	-0.239	62
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-210-3p.1	3	2422	2429	-0.289	41	-0.239	58
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-210-3p.2	3	2463	2470	-0.552	77	-0.450	81
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-210-3p.1	3	2464	2471	-0.289	41	-0.239	58
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-210-3p.1	1	2546	2552	-0.103	17	-0.086	37
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-210-3p.1	1	2588	2594	-0.101	16	-0.085	37
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-970-3p	1	2661	2667	-0.071	25	-0.060	43
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-970-3p	1	2703	2709	-0.069	24	-0.058	43
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-1-3p	1	2760	2766	-0.145	24	-0.121	42
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-1-3p	1	2802	2808	-0.143	24	-0.119	42
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-1000-5p	1	3109	3115	-0.546	68	-0.445	75
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-1000-5p	1	3151	3157	-0.544	68	-0.443	75
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-277-3p	3	3336	3343	-0.617	64	-0.482	70
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-315-5p	2	3354	3360	-0.020	0	-0.016	12
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-277-3p	3	3378	3385	-0.617	64	-0.482	70
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-1000-5p	1	3381	3387	-0.335	38	-0.265	58
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-315-5p	2	3396	3402	-0.020	0	-0.016	12
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-263b-5p	1	3402	3408	-0.793	88	-0.606	87
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-1000-5p	1	3423	3429	-0.333	37	-0.264	57
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-263b-5p	1	3444	3450	-0.791	88	-0.604	87
FBgn0260793	2mit	FBtr0330143	7227	dme-miR-263b-5p	1	3880	3886	-0.388	58	-0.273	64
FBgn0260793	2mit	FBtr0301436	7227	dme-miR-263b-5p	1	3922	3928	-0.386	58	-0.272	64
FBgn0029514	312	FBtr0072680	7227	dme-miR-314-3p	3	761	768	-1.113	96	-0.010	22
FBgn0029514	312	FBtr0072680	7227	dme-miR-87-3p	3	796	803	-0.888	91	-0.008	19
FBgn0259923	4-Sep	FBtr0074365	7227	dme-miR-989-3p	3	253	260	-0.847	87	-0.668	89
FBgn0004168	5-HT1A	FBtr0086577	7227	dme-miR-315-5p	3	337	344	-0.880	71	-0.819	85
FBgn0004168	5-HT1A	FBtr0086577	7227	dme-miR-968-5p	2	902	908	-0.020	4	-0.019	24
FBgn0004168	5-HT1A	FBtr0086577	7227	dme-miR-315-5p	3	1077	1084	-0.837	69	-0.780	84
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-932-5p	2	58	64	-0.430	67	-0.430	81
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-932-5p	2	94	100	-0.424	67	-0.424	81
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-219-5p	2	112	118	-0.560	84	-0.560	90
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-219-5p	2	148	154	-0.552	84	-0.552	90
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-927-5p	1	312	318	-0.168	33	-0.153	54
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-7-5p	2	319	325	-0.333	51	-0.302	62
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-927-5p	1	348	354	-0.170	33	-0.155	54
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-7-5p	2	355	361	-0.334	52	-0.303	62
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-965-3p	2	454	460	-0.273	47	-0.248	63
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-965-3p	2	490	496	-0.274	48	-0.249	63
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-87-3p	1	511	517	-0.452	69	-0.409	76
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-87-3p	1	547	553	-0.454	69	-0.411	76
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-1006-3p	3	573	580	-1.055	88	-0.932	94
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-10-3p	3	573	580	-1.045	88	-0.924	93
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-1006-3p	3	609	616	-1.085	89	-0.957	94
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-10-3p	3	609	616	-1.075	88	-0.949	94
FBgn0263116	5-HT1B	FBtr0330056	7227	dme-miR-965-3p	2	1068	1074	-0.057	27	-0.032	40
FBgn0263116	5-HT1B	FBtr0330055	7227	dme-miR-965-3p	2	1104	1110	-0.060	27	-0.034	40
FBgn0087012	5-HT2A	FBtr0078855	7227	dme-miR-219-5p	1	137	143	-0.615	87	-0.615	92
FBgn0087012	5-HT2A	FBtr0078855	7227	dme-miR-190-5p	1	198	204	-0.696	66	-0.696	83
FBgn0087012	5-HT2A	FBtr0078854	7227	dme-miR-219-5p	1	956	962	-0.403	67	-0.398	80
FBgn0087012	5-HT2A	FBtr0078854	7227	dme-miR-190-5p	1	1017	1023	-0.543	50	-0.536	73
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-960-5p	3	1944	1951	-0.623	74	-0.527	79
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-12-5p	3	1944	1951	-0.663	78	-0.559	81
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-1006-3p	3	2023	2030	-1.376	93	-1.108	96
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-10-3p	3	2023	2030	-1.516	94	-1.208	97
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-12-5p	3	2073	2080	-0.663	78	-0.601	83
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-960-5p	3	2073	2080	-0.623	74	-0.566	81
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-1006-3p	3	2152	2159	-1.376	93	-1.213	97
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-10-3p	3	2152	2159	-1.516	94	-1.328	98
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-1000-5p	1	2287	2293	-0.338	38	-0.290	60
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-1000-5p	1	2416	2422	-0.332	37	-0.304	62
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-1006-3p	2	2562	2568	-0.492	56	-0.419	70
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-10-3p	2	2562	2568	-0.392	40	-0.336	60
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-315-5p	3	2656	2663	-0.756	64	-0.543	71
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-10-3p	2	2691	2697	-0.380	39	-0.348	62
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-1006-3p	2	2691	2697	-0.480	55	-0.438	72
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-190-5p	2	2731	2737	-0.351	31	-0.156	38
FBgn0261929	5-HT2B	FBtr0330144	7227	dme-miR-316-5p	1	2784	2790	-0.266	29	-0.120	35
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-315-5p	3	2785	2792	-0.756	64	-0.589	74
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-190-5p	2	2860	2866	-0.483	44	-0.234	45
FBgn0261929	5-HT2B	FBtr0339322	7227	dme-miR-316-5p	1	2913	2919	-0.322	35	-0.161	42
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-137-3p	2	573	579	-0.310	35	-0.299	57
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-5-5p	2	669	675	-0.161	37	-0.155	55
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-219-5p	1	689	695	-0.500	79	-0.481	85
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-960-5p	1	807	813	-0.498	64	-0.467	75
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-12-5p	1	807	813	-0.418	59	-0.393	70
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-11-3p	3	1108	1115	-1.121	93	-1.035	94
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-2c-3p	3	1108	1115	-1.031	92	-0.954	92
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-13b-3p	3	1108	1115	-0.941	90	-0.873	91
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-6-3p	3	1108	1115	-0.991	90	-0.918	90
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-2b-3p	3	1108	1115	-1.031	92	-0.954	92
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-13a-3p	3	1108	1115	-0.941	90	-0.873	91
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-5-3p	3	1108	1115	-0.931	90	-0.864	90
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-2a-3p	3	1108	1115	-1.031	92	-0.954	92
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-308-3p	3	1108	1115	-0.931	90	-0.864	91
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-283-5p	2	1255	1261	-0.950	83	-0.881	89
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-281-3p	1	1460	1466	-0.528	75	-0.421	77
FBgn0004573	5-HT7	FBtr0334508	7227	dme-miR-277-3p	2	1624	1630	-0.256	28	-0.148	40
FBgn0259178	5PtaseI	FBtr0299662	7227	dme-miR-1011-3p	1	34	40	-0.538	67	-0.538	81
FBgn0259178	5PtaseI	FBtr0299662	7227	dme-miR-275-3p	2	66	72	-0.696	85	-0.696	90
FBgn0259178	5PtaseI	FBtr0299662	7227	dme-miR-306-5p	2	66	72	-0.836	91	-0.836	93
FBgn0259178	5PtaseI	FBtr0299660	7227	dme-miR-1011-3p	1	252	258	-0.459	59	-0.459	75
FBgn0259178	5PtaseI	FBtr0299660	7227	dme-miR-306-5p	2	284	290	-0.604	80	-0.604	85
FBgn0259178	5PtaseI	FBtr0299660	7227	dme-miR-275-3p	2	284	290	-0.464	72	-0.464	80
FBgn0259178	5PtaseI	FBtr0299661	7227	dme-miR-5-5p	2	530	536	-0.266	52	-0.263	67
FBgn0259178	5PtaseI	FBtr0299661	7227	dme-miR-317-3p	2	619	625	-0.442	60	-0.415	70
FBgn0259178	5PtaseI	FBtr0299661	7227	dme-miR-4943-3p	2	619	625	-0.402	64	-0.378	73
FBgn0259178	5PtaseI	FBtr0299661	7227	dme-let-7-5p	1	657	663	-0.498	67	-0.323	64
FBgn0000008	a	FBtr0071764	7227	dme-miR-305-5p	1	120	126	-0.569	60	-0.569	77
FBgn0028965	A16	FBtr0080427	7227	dme-miR-375-3p	1	88	94	-0.612	55	-0.177	34
FBgn0023130	a6	FBtr0070279	7227	dme-miR-9a-3p	1	283	289	-0.656	80	-0.656	85
FBgn0023130	a6	FBtr0070279	7227	dme-miR-4-3p	3	283	290	-1.336	95	-1.336	98
FBgn0023130	a6	FBtr0070279	7227	dme-miR-79-3p	1	283	289	-0.656	80	-0.656	86
FBgn0023130	a6	FBtr0070279	7227	dme-miR-1017-3p	1	283	289	-0.656	87	-0.656	91
FBgn0023130	a6	FBtr0070279	7227	dme-miR-305-5p	1	309	315	-0.729	73	-0.720	85
FBgn0019643	AANAT1	FBtr0072254	7227	dme-miR-305-5p	2	110	116	-0.961	85	-0.961	93
FBgn0031791	AANATL2	FBtr0340167	7227	dme-miR-9c-5p	1	15	21	-0.866	78	-0.866	89
FBgn0031791	AANATL2	FBtr0340167	7227	dme-miR-9b-5p	1	15	21	-0.876	80	-0.876	91
FBgn0031791	AANATL2	FBtr0340167	7227	dme-miR-9a-5p	1	15	21	-0.826	75	-0.826	87
FBgn0040376	AANATL7	FBtr0070437	7227	dme-miR-1000-5p	1	29	35	-0.813	88	-0.804	94
FBgn0040376	AANATL7	FBtr0070437	7227	dme-miR-133-3p	3	316	323	-1.120	98	-0.185	65
FBgn0040376	AANATL7	FBtr0070437	7227	dme-miR-263b-5p	3	356	363	-1.292	97	-0.198	55
FBgn0031851	Aatf	FBtr0079299	7227	dme-miR-987-5p	2	513	519	-0.389	53	-0.014	18
FBgn0023129	aay	FBtr0076457	7227	dme-miR-1006-3p	3	32	39	-1.916	96	-1.916	99
FBgn0023129	aay	FBtr0076457	7227	dme-miR-10-3p	3	32	39	-1.816	96	-1.816	99
FBgn0023129	aay	FBtr0076457	7227	dme-miR-1000-5p	1	131	137	-0.750	86	-0.724	92
FBgn0264442	ab	FBtr0332558	7227	dme-miR-iab-4-3p	2	64	70	-0.294	63	-0.294	77
FBgn0264442	ab	FBtr0332561	7227	dme-miR-1000-5p	3	86	93	-0.507	63	-0.497	79
FBgn0264442	ab	FBtr0332558	7227	dme-miR-iab-4-3p	3	113	120	-0.508	86	-0.492	91
FBgn0264442	ab	FBtr0332558	7227	dme-miR-306-5p	2	320	326	-0.311	54	-0.240	57
FBgn0264442	ab	FBtr0332558	7227	dme-miR-275-3p	2	320	326	-0.111	34	-0.087	46
FBgn0264442	ab	FBtr0332561	7227	dme-miR-957-3p	1	325	331	-0.272	60	-0.253	76
FBgn0264442	ab	FBtr0332558	7227	dme-miR-280-5p	3	453	460	-0.543	54	-0.370	64
FBgn0264442	ab	FBtr0332558	7227	dme-miR-263a-5p	2	555	561	-0.272	54	-0.187	60
FBgn0264442	ab	FBtr0332561	7227	dme-miR-276b-3p	1	581	587	-0.546	78	-0.499	84
FBgn0264442	ab	FBtr0332561	7227	dme-miR-276a-3p	1	581	587	-0.466	72	-0.427	79
FBgn0264442	ab	FBtr0332558	7227	dme-miR-977-3p	3	615	622	-0.411	63	-0.279	66
FBgn0264442	ab	FBtr0332558	7227	dme-let-7-5p	3	660	667	-1.322	96	-0.799	89
FBgn0264442	ab	FBtr0332558	7227	dme-miR-31a-5p	1	749	755	-0.188	33	-0.131	48
FBgn0264442	ab	FBtr0332558	7227	dme-miR-31b-5p	1	749	755	-0.238	46	-0.164	55
FBgn0264442	ab	FBtr0332561	7227	dme-miR-8-3p	3	755	762	-0.964	92	-0.853	92
FBgn0264442	ab	FBtr0332558	7227	dme-let-7-5p	1	934	940	-0.575	73	-0.338	65
FBgn0264442	ab	FBtr0332558	7227	dme-miR-12-5p	1	943	949	-0.375	55	-0.227	56
FBgn0264442	ab	FBtr0332558	7227	dme-miR-960-5p	1	943	949	-0.255	42	-0.157	48
FBgn0264442	ab	FBtr0332558	7227	dme-miR-124-3p	1	1195	1201	-0.495	68	-0.294	64
FBgn0264442	ab	FBtr0332561	7227	dme-miR-iab-8-5p	3	1212	1219	-0.361	62	-0.220	62
FBgn0264442	ab	FBtr0332561	7227	dme-miR-276a-3p	1	1224	1230	-0.511	75	-0.305	69
FBgn0264442	ab	FBtr0332561	7227	dme-miR-276b-3p	1	1224	1230	-0.481	73	-0.288	68
FBgn0264442	ab	FBtr0332558	7227	dme-let-7-5p	3	1233	1240	-1.175	93	-0.630	84
FBgn0264442	ab	FBtr0332561	7227	dme-miR-315-5p	3	1238	1245	-1.090	81	-0.596	74
FBgn0264442	ab	FBtr0332558	7227	dme-miR-311-3p	3	1494	1501	-0.030	12	-0.011	17
FBgn0264442	ab	FBtr0332558	7227	dme-miR-92a-3p	3	1494	1501	-0.030	12	-0.011	17
FBgn0264442	ab	FBtr0332558	7227	dme-miR-313-3p	3	1494	1501	-0.030	12	-0.011	17
FBgn0264442	ab	FBtr0332558	7227	dme-miR-310-3p	3	1494	1501	-0.030	14	-0.011	18
FBgn0264442	ab	FBtr0332558	7227	dme-miR-312-3p	3	1494	1501	-0.030	11	-0.011	17
FBgn0264442	ab	FBtr0332558	7227	dme-miR-92b-3p	3	1494	1501	-0.030	12	-0.011	17
FBgn0264442	ab	FBtr0332558	7227	dme-miR-277-3p	2	1505	1511	-0.020	2	-0.007	11
FBgn0264442	ab	FBtr0332558	7227	dme-miR-277-3p	3	1524	1531	-0.030	9	-0.011	15
FBgn0264442	ab	FBtr0332561	7227	dme-miR-1000-5p	1	1534	1540	-0.493	61	-0.278	59
FBgn0264442	ab	FBtr0332558	7227	dme-miR-137-3p	3	1591	1598	-0.742	76	-0.222	48
FBgn0264442	ab	FBtr0332558	7227	dme-miR-1000-5p	1	1649	1655	-0.514	64	-0.116	36
FBgn0035244	ABCB7	FBtr0072754	7227	dme-miR-280-5p	3	147	154	-0.858	76	-0.849	90
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	3	170	177	-0.806	88	-0.799	93
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-968-5p	3	496	503	-1.064	93	-0.947	94
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-7-5p	1	869	875	-0.523	71	-0.471	75
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-263a-5p	1	956	962	-0.581	84	-0.522	86
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	3	1102	1109	-0.871	90	-0.774	92
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-3-3p	1	1174	1180	-0.432	77	-0.391	80
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-318-3p	1	1174	1180	-0.402	76	-0.364	80
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-309-3p	1	1174	1180	-0.402	77	-0.364	81
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	2	1285	1291	-0.050	27	-0.038	37
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	2	1379	1385	-0.088	31	-0.065	43
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-307a-3p	1	2000	2006	-0.335	71	-0.226	71
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	2	2189	2195	-0.020	3	-0.001	6
FBgn0000014	abd-A	FBtr0306337	7227	dme-miR-iab-8-5p	3	2284	2291	-0.706	85	-0.020	31
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-276b-3p	2	711	717	-0.280	54	-0.266	66
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-276a-3p	2	711	717	-0.280	54	-0.266	66
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-276b-3p	2	822	828	-0.269	52	-0.255	64
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-276a-3p	2	822	828	-0.269	53	-0.255	64
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-276a-3p	2	870	876	-0.265	52	-0.252	64
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-276b-3p	2	870	876	-0.265	51	-0.252	63
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-1002-5p	2	1091	1097	-0.720	89	-0.642	91
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-968-5p	1	1091	1097	-0.398	63	-0.359	72
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-283-5p	3	1176	1183	-1.178	91	-1.030	92
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-968-5p	1	1202	1208	-0.394	62	-0.356	72
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-1002-5p	2	1202	1208	-0.711	89	-0.634	91
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-1002-5p	2	1250	1256	-0.707	89	-0.631	91
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-968-5p	1	1250	1256	-0.393	62	-0.355	72
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-283-5p	3	1287	1294	-1.198	91	-1.046	93
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-283-5p	3	1335	1342	-1.208	91	-1.054	93
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-10-3p	3	1712	1719	-1.650	95	-0.011	13
FBgn0000015	Abd-B	FBtr0330709	7227	dme-miR-1006-3p	3	1712	1719	-1.530	95	-0.011	14
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-1006-3p	3	1823	1830	-1.555	95	-0.011	14
FBgn0000015	Abd-B	FBtr0346764	7227	dme-miR-10-3p	3	1823	1830	-1.675	95	-0.011	13
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-1006-3p	3	1871	1878	-1.561	95	-0.034	24
FBgn0000015	Abd-B	FBtr0083385	7227	dme-miR-10-3p	3	1871	1878	-1.681	95	-0.036	23
FBgn0020510	Abi	FBtr0082910	7227	dme-miR-1000-5p	1	35	41	-0.687	82	-0.687	91
FBgn0020510	Abi	FBtr0082910	7227	dme-miR-277-3p	1	257	263	-0.748	73	-0.673	81
